==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱         : aero01
Python 版本      : 3.10.12
TensorFlow 版本  : 2.17.0
訓練裝置類型     : CUDA
裝置名稱         : NVIDIA L40S
CUDA 版本        : 12.3
訓練開始時間     : 2026-05-05 00:43:10
總訓練時間       : 65291.84 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
504/5000  0.0120     99.60        71.46        7161.96s
505/5000  0.0139     99.56        71.09        7174.79s
506/5000  0.0161     99.50        71.29        7187.68s
507/5000  0.0140     99.55        71.15        7200.51s
508/5000  0.0158     99.53        71.09        7213.36s
509/5000  0.0136     99.59        71.76        7226.29s
510/5000  0.0118     99.64        70.74        7239.12s
511/5000  0.0121     99.62        71.45        7251.90s
512/5000  0.0138     99.60        71.66        7264.64s
513/5000  0.0134     99.56        71.05        7277.40s
514/5000  0.0134     99.57        71.22        7290.19s
515/5000  0.0115     99.61        71.69        7302.93s
516/5000  0.0128     99.58        70.26        7315.74s
517/5000  0.0144     99.57        70.94        7328.55s
518/5000  0.0170     99.45        70.96        7341.47s
519/5000  0.0129     99.60        71.99        7354.36s
520/5000  0.0122     99.63        71.06        7367.26s
521/5000  0.0120     99.65        71.38        7380.13s
522/5000  0.0137     99.57        71.56        7393.39s
523/5000  0.0115     99.65        72.32        7406.58s
524/5000  0.0102     99.66        72.10        7419.65s
525/5000  0.0142     99.55        71.01        7432.65s
526/5000  0.0162     99.53        71.70        7445.59s
527/5000  0.0150     99.56        71.62        7458.63s
528/5000  0.0114     99.62        71.51        7471.93s
529/5000  0.0120     99.60        70.75        7484.85s
530/5000  0.0108     99.62        71.69        7497.71s
531/5000  0.0106     99.66        71.59        7510.62s
532/5000  0.0155     99.53        71.35        7523.68s
533/5000  0.0157     99.51        70.74        7536.70s
534/5000  0.0121     99.61        71.55        7549.73s
535/5000  0.0127     99.62        71.26        7562.78s
536/5000  0.0137     99.60        71.60        7575.91s
537/5000  0.0102     99.66        71.68        7589.05s
538/5000  0.0125     99.59        71.47        7602.30s
539/5000  0.0126     99.59        71.79        7615.38s
540/5000  0.0116     99.62        71.30        7628.58s
541/5000  0.0118     99.63        71.61        7641.56s
542/5000  0.0125     99.59        70.96        7654.31s
543/5000  0.0115     99.63        71.05        7667.21s
544/5000  0.0142     99.57        70.71        7680.16s
